updateTime,平台i,门店ID,平台门店名称,日期,cpc单次点击费用,cpc总费用,cpc曝光量,cpc访问量,gmvroi,下单转换率,单均gmv,单均实收,实收roi,无效订单,有效订单,自增主键,自然曝光量,自然访问量,门店下单量,门店实收,门店曝光量,门店营业额,门店访问量
2019/12/12 11:54,美团,8184590,蛙小辣火锅杯（合生汇店）,2019/12/10,1.3,225.65,2711,173,7.43,0.17,57.48,19.8,2.56,0,59,1501603,1427,159,56,1167.97,4138,3391.38,332
2019/12/12 11:54,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/10,1.54,261.1,3665,169,4.3,0.13,52.99,18.88,1.53,0,35,1501605,11,86,32,660.73,3676,1854.76,255
2019/12/12 11:54,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/10,1.38,177.5,2115,129,6.75,0.18,51.49,20.38,2.67,1,53,1502265,874,165,53,1080.31,2989,2728.72,294
2019/12/12 11:54,美团,8165842,蛙小辣·美蛙火锅杯（虹口足球场店）,2019/12/10,1.47,240.3,2937,164,7.43,0.19,56.35,19.25,2.54,2,64,1502274,614,162,63,1231.86,3551,3606.1,326
2019/12/12 11:54,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/10,1.55,623.5,4190,401,5.35,0.17,49.69,12.71,1.37,0,132,1502523,1872,387,132,1677.96,6062,6558.49,788
2019/12/12 11:54,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/10,1.61,207.8,1628,129,3.17,0.09,56.1,18.2,1.03,0,32,1502706,802,223,32,582.44,2430,1795.34,352
2019/12/12 11:54,饿了么,2001104355,蛙小辣·美蛙火锅杯(宝山店),2019/12/10,1.25,198.5,2043,159,6.52,0.13,64.65,25.62,2.58,0,54,1502736,1108,254,52,1383.31,3151,3491.02,413
2019/12/12 11:54,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/10,1.35,166.4,1705,123,6.4,0.15,57.81,21.28,2.36,1,63,1502967,1470,284,61,1340.47,3175,3642.1,407
2019/12/12 11:54,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/10,1.51,140.3,1376,93,4.82,0.14,53.45,14.66,1.32,0,46,1502987,1394,245,46,674.16,2770,2458.6,338
2019/12/12 12:49,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/9,1.4,195.35,2329,140,6.87,0.2,47.13,17.2,2.51,3,63,1503654,839,160,61,1083.59,3168,2969.08,300
2019/12/12 12:49,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/9,1.49,288.01,3551,193,4.44,0.12,56.56,21.78,1.71,0,33,1503660,48,89,33,718.81,3599,1866.4,282
2019/12/12 12:49,美团,8184590,蛙小辣火锅杯（合生汇店）,2019/12/9,1.28,246.1,3597,192,7.15,0.16,56.27,19.48,2.47,0,56,1504126,1085,152,56,1090.69,4682,3150.84,344
2019/12/12 12:49,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/9,1.55,80.4,774,52,5.84,0.14,62.65,25.37,2.36,0,52,1504474,1704,288,49,1319.28,2478,3257.72,340
2019/12/12 12:49,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/9,1.67,206.6,1847,124,3.3,0.1,57.5,22.37,1.28,0,35,1504479,722,232,34,783.02,2569,2012.4,356
2019/12/12 12:49,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/9,1.57,139.3,1079,89,6.06,0.16,58.59,17.22,1.78,0,53,1504495,1435,232,52,912.88,2514,3105.52,321
2019/12/12 12:49,饿了么,2001104355,蛙小辣·美蛙火锅杯(宝山店),2019/12/9,1.31,179.1,2125,137,7.21,0.15,61.93,24.97,2.91,0,58,1505284,1046,231,56,1448.14,3171,3592,368
2019/12/12 12:49,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/9,1.5,602.08,4923,402,4.91,0.15,48.78,12.66,1.27,2,109,1505295,360,315,108,1379.8,5283,5316.95,717
2019/12/12 12:54,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/8,1.18,271.85,3644,231,7.01,0.16,51.91,19.98,2.7,0,64,1505792,243,153,61,1278.57,3887,3321.98,384
2019/12/12 12:54,美团,8184590,蛙小辣火锅杯（合生汇店）,2019/12/8,1.22,293.85,4112,241,6.41,0.13,58.58,19.95,2.18,0,60,1505802,784,194,58,1196.73,4896,3514.74,435
2019/12/12 12:54,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/8,1.2,146.6,2084,122,5.87,0.13,54.8,20.7,2.22,1,53,1506350,1938,290,53,1097.06,4022,2904.44,412
2019/12/12 12:54,饿了么,2001104355,蛙小辣·美蛙火锅杯(宝山店),2019/12/8,1.17,199.44,2334,171,6.68,0.13,59.54,24.3,2.72,0,66,1506373,1362,326,65,1603.79,3696,3929.74,497
2019/12/12 12:54,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/8,1.48,499.3,4144,338,4.81,0.15,46.4,10.56,1.09,0,100,1506382,702,309,99,1055.78,4846,4639.69,647
2019/12/12 12:54,美团,8165842,蛙小辣·美蛙火锅杯（虹口足球场店）,2019/12/8,1.32,300,4389,228,6.04,0.13,60.15,23.13,2.32,2,47,1506662,56,135,48,1086.9,4445,2826.92,363
2019/12/12 12:54,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/8,1.4,288.04,3786,206,5.03,0.13,54.12,20.49,1.9,0,39,1506779,131,79,37,798.99,3917,2110.86,285
2019/12/12 12:54,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/8,1.43,156,1772,109,4.24,0.11,57.4,22.14,1.64,1,30,1507314,870,184,31,664.34,2642,1721.89,293
2019/12/12 12:54,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/8,1.23,90.9,969,74,8.94,0.18,60.24,18.09,2.69,0,64,1507329,1873,277,64,1157.74,2842,3855.43,351
2019/12/12 13:14,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/7,1.18,281.54,3495,239,6.66,0.15,51.62,19.87,2.56,0,59,1508238,342,136,57,1172.21,3837,3045.52,375
2019/12/12 13:14,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/7,1.47,297.6,3584,202,5.42,0.14,56.5,22.26,2.13,1,39,1508253,117,67,38,868.05,3701,2203.36,269
2019/12/12 13:14,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/7,1.41,66.1,717,47,4.98,0.13,54.03,20.45,1.89,0,31,1508781,1336,192,31,634.06,2053,1675.02,239
2019/12/12 13:14,美团,8165842,蛙小辣·美蛙火锅杯（虹口足球场店）,2019/12/7,1.04,9.39,126,9,8.16,0.15,56.85,20.37,2.92,0,53,1509211,5504,345,53,1079.77,5630,3013.06,354
2019/12/12 13:14,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/7,1.34,158.34,2170,118,5.24,0.12,59.37,24.07,2.12,0,53,1509489,1626,313,51,1275.53,3796,3146.5,431
2019/12/12 13:14,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/7,1.3,140.7,1632,108,6.02,0.14,56.99,17.43,1.84,2,59,1509509,1727,306,57,1028.36,3359,3362.36,414
2019/12/12 13:14,饿了么,2001042552,蛙小辣·美蛙火锅杯(龙阳路店),2019/12/7,1.3,2.6,35,2,3.31,0.07,62.31,27.69,1.47,0,8,1509514,1189,114,8,221.48,1224,498.44,116
2019/12/12 13:14,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/7,1.4,499.9,4186,357,5.89,0.17,47.89,11.92,1.46,1,112,1509525,628,282,110,1334.68,4814,5363.39,639
2019/12/12 13:22,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/6,1.44,268.66,3230,186,5.65,0.14,58.03,23.55,2.29,0,38,1509987,179,77,37,895.07,3409,2204.96,263
2019/12/12 13:22,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/6,1.31,166.7,2154,127,6.19,0.15,54.01,20.65,2.37,1,68,1510387,1590,318,67,1403.91,3744,3672.44,445
2019/12/12 13:22,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/6,1.23,295,3486,239,8.27,0.2,50.64,19.16,3.13,2,83,1511582,655,163,81,1590.69,4141,4202.92,402
2019/12/12 13:22,美团,8184590,蛙小辣火锅杯（合生汇店）,2019/12/6,1.4,1.4,7,1,7.47,0.18,58.41,21.57,2.76,0,70,1511591,4465,373,67,1509.96,4472,4088.62,374
2019/12/12 13:22,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/6,1.59,208.47,1889,131,4.38,0.13,55.67,19.93,1.57,2,46,1511921,1276,236,46,916.95,3165,2560.68,367
2019/12/12 13:22,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/6,1.52,133.5,1284,88,6.82,0.19,54.84,15.38,1.91,1,72,1511933,1708,283,70,1107.2,2992,3948.3,371
2019/12/12 13:22,饿了么,2001104355,蛙小辣·美蛙火锅杯(宝山店),2019/12/6,1.3,1.3,8,1,6.97,0.15,59.94,23.21,2.7,3,74,1511944,4201,482,73,1717.66,4209,4435.46,483
2019/12/12 13:22,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/6,1.48,590.4,4662,400,5.06,0.17,45.15,10.01,1.12,0,111,1511951,533,265,110,1111.45,5195,5012.15,665
2019/12/20 17:22,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/17,1.2,186.7,2430,155,9.83,0.2,59.37,24.32,4.03,0,72,1513491,2971,201,71,1751.14,5401,4274.74,356
2019/12/20 17:22,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/17,1.47,283.1,2719,192,6.25,0.18,52.49,16.97,2.02,2,51,1513513,529,93,50,865.62,3248,2676.82,285
2019/12/20 17:22,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/17,1.29,86.2,694,67,9.04,0.22,52.84,15.38,2.63,0,59,1513548,2357,201,59,907.34,3051,3117.64,268
2019/12/20 17:22,饿了么,2001053699,蛙小辣·美蛙火锅杯(大宁店),2019/12/17,2.21,39.7,445,18,0,0,61.04,22.1,0,0,4,1513559,,,,88.4,,244.16,
2019/12/20 17:22,饿了么,2001104355,蛙小辣·美蛙火锅杯(宝山店),2019/12/17,1.08,206.4,2569,192,11.66,0.21,60.17,23.21,4.5,1,91,1513877,1937,221,86,2112.34,4506,5475.44,413
2019/12/20 17:22,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/17,1.43,306.6,2672,215,5.17,0.15,47.86,12.32,1.33,1,71,1513903,3423,239,70,874.72,6095,3397.97,454
2019/12/20 17:22,美团,8052557,蛙小辣火锅杯（真如店）,2019/12/17,1.41,60.8,821,43,7.95,0.18,60.91,17.7,2.31,0,26,1514150,1988,87,24,460.3,2809,1583.54,130
2019/12/20 17:22,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/17,1.27,72.61,1100,57,8.33,0.21,50.58,17.34,2.86,0,43,1514281,1095,148,43,745.82,2195,2174.94,205
2019/12/20 17:22,美团,8165842,蛙小辣·美蛙火锅杯（虹口足球场店）,2019/12/17,1.41,238.82,2901,169,7.45,0.2,53.21,17.05,2.39,6,53,1514322,634,114,56,903.91,3535,2820.22,283
2019/12/20 17:22,美团,8184590,蛙小辣火锅杯（合生汇店）,2019/12/17,1.21,237.4,3203,197,5.77,0.12,56.05,20.64,2.13,0,37,1514334,630,101,37,763.62,3833,2073.86,298
2019/12/20 17:22,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/17,1.62,190.98,2313,118,5.9,0.18,51.85,19.61,2.23,2,39,1514344,116,72,35,764.87,2429,2021.98,190
2019/12/20 17:22,美团,8260331,蛙小辣美蛙火锅杯（亚龙美食城店）,2019/12/17,1.48,245,2787,166,4.13,0.12,49.77,17.19,1.43,0,50,1514423,2060,242,50,859.55,4847,2488.66,408
2019/12/20 17:19,饿了么,2000507076,蛙小辣火锅杯(五角场店),2019/12/16,1.29,149.31,1991,116,10.74,0.24,58.26,23.31,4.3,0,65,1515378,1925,158,65,1515.14,3916,3786.98,274
2019/12/20 17:19,饿了么,2000555792,蛙小辣·美蛙火锅杯(虹口足球场店),2019/12/16,1.55,269.8,3080,174,6.14,0.17,55.5,19.85,2.2,12,50,1515399,295,100,47,992.51,3375,2775.12,274
2019/12/20 17:19,饿了么,2001020019,蛙小辣·美蛙火锅杯(真如店),2019/12/16,,0,1,0,0,0.21,55.49,18.79,0,0,36,1515433,2562,173,36,676.33,2563,1997.51,173
2019/12/20 17:19,饿了么,2001104355,蛙小辣·美蛙火锅杯(宝山店),2019/12/16,1.16,200.5,2323,173,9.89,0.21,55.22,20.27,3.63,2,64,1515461,1237,140,65,1297.09,3560,3533.98,313
2019/12/20 17:19,饿了么,2001220953,利芳·一人食大盘鸡(国定路店),2019/12/16,1.46,273.9,2035,188,7.36,0.22,48.38,13.29,2.02,1,90,1515485,2816,218,90,1196.47,4851,4353.96,406
2019/12/20 17:19,美团,8052557,蛙小辣火锅杯（真如店）,2019/12/16,1.4,61.4,645,44,8.11,0.22,52.47,14.31,2.21,0,30,1516784,1771,95,30,429.38,2416,1574.03,139
2019/12/20 17:19,美团,8106681,蛙小辣·美蛙火锅杯（长风大悦城店）,2019/12/16,1.25,81,1008,65,5.47,0.13,54.2,17.18,1.73,0,21,1516811,794,102,21,360.72,1802,1138.12,167
2019/12/20 17:19,美团,8165842,蛙小辣·美蛙火锅杯（虹口足球场店）,2019/12/16,1.39,265.3,3821,191,6.71,0.16,58.66,21.71,2.48,1,48,1516850,-45,105,47,1041.85,3776,2815.82,296
2019/12/20 17:19,美团,8184590,蛙小辣火锅杯（合生汇店）,2019/12/16,1.37,295.49,3711,216,6.15,0.15,57.22,20.65,2.22,0,47,1516860,388,97,46,970.54,4099,2689.52,313
2019/12/20 17:19,美团,8223184,蛙小辣美蛙火锅杯（大宁国际店）,2019/12/16,2.04,300,2726,147,3.42,0.13,52.85,17.74,1.15,2,24,1516871,-221,50,26,425.77,2505,1268.48,197
2019/12/20 17:19,美团,8260331,蛙小辣美蛙火锅杯（亚龙美食城店）,2019/12/16,1.43,211.2,2478,148,5.23,0.15,49.96,18.29,1.91,2,70,1516891,2367,294,66,1280.22,4845,3497,442
2019/12/20 17:12,美团,8052557,蛙小辣火锅杯（真如店）,2019/12/13,1.52,106.48,1198,70,7.35,0.24,46.52,11.13,1.76,0,52,1518221,1767,113,44,578.74,2965,2419.19,183
